-------------------- Muestras de los registros cada 200 ms --------------------

Fallidos: 0      Verificados: 0
Fallidos: 2      Verificados: 4
Fallidos: 4      Verificados: 6
Fallidos: 8      Verificados: 8
Fallidos: 10      Verificados: 10
Fallidos: 12      Verificados: 12
Fallidos: 14      Verificados: 14
Fallidos: 16      Verificados: 16
Fallidos: 16      Verificados: 22
Fallidos: 16      Verificados: 26
Fallidos: 16      Verificados: 30
Fallidos: 16      Verificados: 34
Fallidos: 19      Verificados: 37
Fallidos: 20      Verificados: 40
Fallidos: 22      Verificados: 42
Fallidos: 22      Verificados: 46
Fallidos: 22      Verificados: 50
Fallidos: 23      Verificados: 55
Fallidos: 24      Verificados: 58
Fallidos: 25      Verificados: 61
Fallidos: 25      Verificados: 65
Fallidos: 27      Verificados: 67
Fallidos: 27      Verificados: 73
Fallidos: 29      Verificados: 75
Fallidos: 29      Verificados: 79
Fallidos: 30      Verificados: 82
Fallidos: 31      Verificados: 85
Fallidos: 32      Verificados: 90
Fallidos: 33      Verificados: 93
Fallidos: 34      Verificados: 96
Fallidos: 36      Verificados: 98
Fallidos: 39      Verificados: 101
Fallidos: 40      Verificados: 104
Fallidos: 40      Verificados: 108
Fallidos: 41      Verificados: 111
Fallidos: 42      Verificados: 114
Fallidos: 45      Verificados: 117
Fallidos: 46      Verificados: 120
Fallidos: 48      Verificados: 122
Fallidos: 49      Verificados: 125
Fallidos: 51      Verificados: 127
Fallidos: 53      Verificados: 131
Fallidos: 54      Verificados: 134
Fallidos: 56      Verificados: 136
Fallidos: 57      Verificados: 137
Fallidos: 57      Verificados: 140
Fallidos: 58      Verificados: 142
Fallidos: 60      Verificados: 142
Fallidos: 60      Verificados: 145
Fallidos: 62      Verificados: 146
Fallidos: 62      Verificados: 149
Fallidos: 63      Verificados: 151
Fallidos: 63      Verificados: 154
Fallidos: 63      Verificados: 156
Fallidos: 64      Verificados: 157
Fallidos: 65      Verificados: 158
Fallidos: 66      Verificados: 161
Fallidos: 67      Verificados: 162
Fallidos: 67      Verificados: 164
Fallidos: 67      Verificados: 166
Fallidos: 68      Verificados: 169
Fallidos: 68      Verificados: 171
Fallidos: 68      Verificados: 173
Fallidos: 69      Verificados: 176
Fallidos: 71      Verificados: 176
Fallidos: 74      Verificados: 176
Fallidos: 74      Verificados: 178
Fallidos: 74      Verificados: 181
Fallidos: 74      Verificados: 183
Fallidos: 74      Verificados: 185
Fallidos: 75      Verificados: 186
Fallidos: 76      Verificados: 189
Fallidos: 76      Verificados: 191
Fallidos: 77      Verificados: 192
Fallidos: 77      Verificados: 194
Fallidos: 77      Verificados: 196
Fallidos: 77      Verificados: 200
Fallidos: 77      Verificados: 203
Fallidos: 78      Verificados: 204
Fallidos: 79      Verificados: 206
Fallidos: 80      Verificados: 207
Fallidos: 81      Verificados: 208
Fallidos: 81      Verificados: 210
Fallidos: 82      Verificados: 213
Fallidos: 82      Verificados: 215
Fallidos: 84      Verificados: 215
Fallidos: 84      Verificados: 217
Fallidos: 84      Verificados: 219
Fallidos: 85      Verificados: 222
Fallidos: 86      Verificados: 223
Fallidos: 87      Verificados: 224
Fallidos: 88      Verificados: 225
Fallidos: 88      Verificados: 227
Fallidos: 88      Verificados: 229
Fallidos: 88      Verificados: 231
Fallidos: 88      Verificados: 233
Fallidos: 90      Verificados: 235
Fallidos: 90      Verificados: 237
Fallidos: 90      Verificados: 241
Fallidos: 90      Verificados: 243
Fallidos: 91      Verificados: 244
Fallidos: 91      Verificados: 246
Fallidos: 91      Verificados: 249
Fallidos: 91      Verificados: 251
Fallidos: 92      Verificados: 253
Fallidos: 93      Verificados: 254
Fallidos: 95      Verificados: 254
Fallidos: 96      Verificados: 257
Fallidos: 97      Verificados: 262
Fallidos: 97      Verificados: 266
Fallidos: 99      Verificados: 268
Fallidos: 99      Verificados: 272
Fallidos: 101      Verificados: 276
Fallidos: 101      Verificados: 280
Fallidos: 102      Verificados: 283
Fallidos: 103      Verificados: 286
Fallidos: 104      Verificados: 289
Fallidos: 105      Verificados: 294
Fallidos: 106      Verificados: 297
Fallidos: 107      Verificados: 300
Fallidos: 108      Verificados: 303
Fallidos: 111      Verificados: 304
Fallidos: 113      Verificados: 308
Fallidos: 113      Verificados: 312
Fallidos: 114      Verificados: 315
Fallidos: 115      Verificados: 318
Fallidos: 118      Verificados: 321
Fallidos: 121      Verificados: 322
Fallidos: 121      Verificados: 326
Fallidos: 121      Verificados: 330
Fallidos: 121      Verificados: 334
Fallidos: 123      Verificados: 338
Fallidos: 124      Verificados: 341
Fallidos: 125      Verificados: 344
Fallidos: 127      Verificados: 346
Fallidos: 127      Verificados: 350
Fallidos: 129      Verificados: 354
Fallidos: 130      Verificados: 357
Fallidos: 132      Verificados: 359
Fallidos: 133      Verificados: 362
Fallidos: 134      Verificados: 366

-------------------------------- Estadísticas Finales --------------------------------

app.Casillero [0][0]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][1]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [0][2]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][3]: ocupado 2 veces, con estado final: VACIO
app.Casillero [0][4]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][5]: ocupado 2 veces, con estado final: VACIO
app.Casillero [0][6]: ocupado 4 veces, con estado final: VACIO
app.Casillero [0][7]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][8]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [0][9]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][10]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][11]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][12]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][13]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [0][14]: ocupado 2 veces, con estado final: VACIO
app.Casillero [0][15]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][16]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [0][17]: ocupado 3 veces, con estado final: VACIO
app.Casillero [0][18]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [0][19]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][0]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][1]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][2]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [1][3]: ocupado 4 veces, con estado final: VACIO
app.Casillero [1][4]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][5]: ocupado 3 veces, con estado final: VACIO
app.Casillero [1][6]: ocupado 3 veces, con estado final: VACIO
app.Casillero [1][7]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [1][8]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [1][9]: ocupado 4 veces, con estado final: VACIO
app.Casillero [1][10]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [1][11]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [1][12]: ocupado 3 veces, con estado final: VACIO
app.Casillero [1][13]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][14]: ocupado 4 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [1][15]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][16]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][17]: ocupado 4 veces, con estado final: VACIO
app.Casillero [1][18]: ocupado 2 veces, con estado final: VACIO
app.Casillero [1][19]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [2][0]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [2][1]: ocupado 2 veces, con estado final: VACIO
app.Casillero [2][2]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [2][3]: ocupado 3 veces, con estado final: VACIO
app.Casillero [2][4]: ocupado 3 veces, con estado final: VACIO
app.Casillero [2][5]: ocupado 3 veces, con estado final: VACIO
app.Casillero [2][6]: ocupado 2 veces, con estado final: VACIO
app.Casillero [2][7]: ocupado 2 veces, con estado final: VACIO
app.Casillero [2][8]: ocupado 2 veces, con estado final: VACIO
app.Casillero [2][9]: ocupado 2 veces, con estado final: VACIO
app.Casillero [2][10]: ocupado 3 veces, con estado final: VACIO
app.Casillero [2][11]: ocupado 2 veces, con estado final: VACIO
app.Casillero [2][12]: ocupado 3 veces, con estado final: VACIO
app.Casillero [2][13]: ocupado 3 veces, con estado final: VACIO
app.Casillero [2][14]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
